LOCATION;INDICATOR;SUBJECT;MEASURE;FREQUENCY;TIME;Value;IntRate
GRC;LTINT;TOT;PC_PA;A;2003;4,26750;4,2675%
GRC;LTINT;TOT;PC_PA;A;2004;4,25583;4,2558%
GRC;LTINT;TOT;PC_PA;A;2005;3,58500;3,5850%
GRC;LTINT;TOT;PC_PA;A;2006;4,07000;4,0700%
GRC;LTINT;TOT;PC_PA;A;2007;4,50000;4,5000%
GRC;LTINT;TOT;PC_PA;A;2008;4,80250;4,8025%
GRC;LTINT;TOT;PC_PA;A;2009;5,17417;5,1742%
GRC;LTINT;TOT;PC_PA;A;2010;9,09167;9,0917%
GRC;LTINT;TOT;PC_PA;A;2011;15,74917;15,7492%
GRC;LTINT;TOT;PC_PA;A;2012;22,49750;22,4975%
GRC;LTINT;TOT;PC_PA;A;2013;10,05417;10,0542%
GRC;LTINT;TOT;PC_PA;A;2014;6,92917;6,9292%
GRC;LTINT;TOT;PC_PA;A;2015;9,66636;9,6664%
GRC;LTINT;TOT;PC_PA;A;2016;8,36000;8,3600%
GRC;LTINT;TOT;PC_PA;A;2017;5,97833;5,9783%
GRC;LTINT;TOT;PC_PA;A;2018;4,18500;4,1850%
GRC;LTINT;TOT;PC_PA;A;2019;2,58583;2,5858%
SVN;LTINT;TOT;PC_PA;A;2003;6,40167;6,4017%
SVN;LTINT;TOT;PC_PA;A;2004;4,68417;4,6842%
SVN;LTINT;TOT;PC_PA;A;2005;3,80667;3,8067%
SVN;LTINT;TOT;PC_PA;A;2006;3,85333;3,8533%
SVN;LTINT;TOT;PC_PA;A;2007;4,52917;4,5292%
SVN;LTINT;TOT;PC_PA;A;2008;4,60667;4,6067%
SVN;LTINT;TOT;PC_PA;A;2009;4,37500;4,3750%
SVN;LTINT;TOT;PC_PA;A;2010;3,83250;3,8325%
SVN;LTINT;TOT;PC_PA;A;2011;4,97083;4,9708%
SVN;LTINT;TOT;PC_PA;A;2012;5,80833;5,8083%
SVN;LTINT;TOT;PC_PA;A;2013;5,81167;5,8117%
SVN;LTINT;TOT;PC_PA;A;2014;3,27000;3,2700%
SVN;LTINT;TOT;PC_PA;A;2015;1,70667;1,7067%
SVN;LTINT;TOT;PC_PA;A;2016;1,14917;1,1492%
SVN;LTINT;TOT;PC_PA;A;2017;0,96000;0,9600%
SVN;LTINT;TOT;PC_PA;A;2018;0,93083;0,9308%
SVN;LTINT;TOT;PC_PA;A;2019;0,27500;0,2750%
JPN;LTINT;TOT;PC_PA;A;1989;5,12725;5,1273%
JPN;LTINT;TOT;PC_PA;A;1990;6,95992;6,9599%
JPN;LTINT;TOT;PC_PA;A;1991;6,33667;6,3367%
JPN;LTINT;TOT;PC_PA;A;1992;5,32658;5,3266%
