LOCATION;INDICATOR;SUBJECT;MEASURE;FREQUENCY;TIME;Value;;;Tax Wedge
NLD;TAXWEDGE;TOT;PC_LC;A;2019;36.959.184;36959184;36959184;36,95918%
NLD;TAXWEDGE;TOT;PC_LC;A;2020;36.423.792;36423792;36423792;36,42379%
NZL;TAXWEDGE;TOT;PC_LC;A;2000;19.367.838;19367838;19367838;19,36784%
NZL;TAXWEDGE;TOT;PC_LC;A;2001;1.936.221;19362210;19362210;19,36221%
NZL;TAXWEDGE;TOT;PC_LC;A;2002;19.416.535;19416535;19416535;19,41654%
NZL;TAXWEDGE;TOT;PC_LC;A;2003;19.459.168;19459168;19459168;19,45917%
NZL;TAXWEDGE;TOT;PC_LC;A;2004;19.713.631;19713631;19713631;19,71363%
NZL;TAXWEDGE;TOT;PC_LC;A;2005;20.032.028;20032028;20032028;20,03203%
NZL;TAXWEDGE;TOT;PC_LC;A;2006;20.439.708;20439708;20439708;20,43971%
NZL;TAXWEDGE;TOT;PC_LC;A;2007;21.075.868;21075868;21075868;21,07587%
NZL;TAXWEDGE;TOT;PC_LC;A;2008;20.511.511;20511511;20511511;20,51151%
NZL;TAXWEDGE;TOT;PC_LC;A;2009;18.073.907;18073907;18073907;18,07391%
NZL;TAXWEDGE;TOT;PC_LC;A;2010;16.991.699;16991699;16991699;16,99170%
NZL;TAXWEDGE;TOT;PC_LC;A;2011;15.869.015;15869015;15869015;15,86902%
NZL;TAXWEDGE;TOT;PC_LC;A;2012;16.387.925;16387925;16387925;16,38793%
NZL;TAXWEDGE;TOT;PC_LC;A;2013;16.888.079;16888079;16888079;16,88808%
NZL;TAXWEDGE;TOT;PC_LC;A;2014;17.247.182;17247182;17247182;17,24718%
NZL;TAXWEDGE;TOT;PC_LC;A;2015;1.756.015;17560150;17560150;17,56015%
NZL;TAXWEDGE;TOT;PC_LC;A;2016;17.892.244;17892244;17892244;17,89224%
NZL;TAXWEDGE;TOT;PC_LC;A;2017;18.134.095;18134095;18134095;18,13410%
NZL;TAXWEDGE;TOT;PC_LC;A;2018;1.843.605;18436050;18436050;18,43605%
NZL;TAXWEDGE;TOT;PC_LC;A;2019;18.774.706;18774706;18774706;18,77471%
NZL;TAXWEDGE;TOT;PC_LC;A;2020;19.119.252;19119252;19119252;19,11925%
NOR;TAXWEDGE;TOT;PC_LC;A;2000;38.561.634;38561634;38561634;38,56163%
NOR;TAXWEDGE;TOT;PC_LC;A;2001;39.223.273;39223273;39223273;39,22327%
NOR;TAXWEDGE;TOT;PC_LC;A;2002;38.645.123;38645123;38645123;38,64512%
NOR;TAXWEDGE;TOT;PC_LC;A;2003;38.087.978;38087978;38087978;38,08798%
NOR;TAXWEDGE;TOT;PC_LC;A;2004;38.148.446;38148446;38148446;38,14845%
NOR;TAXWEDGE;TOT;PC_LC;A;2005;37.244.688;37244688;37244688;37,24469%
NOR;TAXWEDGE;TOT;PC_LC;A;2006;37.415.916;37415916;37415916;37,41592%
NOR;TAXWEDGE;TOT;PC_LC;A;2007;37.537.132;37537132;37537132;37,53713%
NOR;TAXWEDGE;TOT;PC_LC;A;2008;37.586.889;37586889;37586889;37,58689%
NOR;TAXWEDGE;TOT;PC_LC;A;2009;3.730.349;37303490;37303490;37,30349%
NOR;TAXWEDGE;TOT;PC_LC;A;2010;37.291.511;37291511;37291511;37,29151%
NOR;TAXWEDGE;TOT;PC_LC;A;2011;37.571.439;37571439;37571439;37,57144%
NOR;TAXWEDGE;TOT;PC_LC;A;2012;37.405.343;37405343;37405343;37,40534%
NOR;TAXWEDGE;TOT;PC_LC;A;2013;37.353.963;37353963;37353963;37,35396%
NOR;TAXWEDGE;TOT;PC_LC;A;2014;36.904.145;36904145;36904145;36,90415%
NOR;TAXWEDGE;TOT;PC_LC;A;2015;3.668.174;36681740;36681740;36,68174%
NOR;TAXWEDGE;TOT;PC_LC;A;2016;36.253.332;36253332;36253332;36,25333%
NOR;TAXWEDGE;TOT;PC_LC;A;2017;35.952.164;35952164;35952164;35,95216%
NOR;TAXWEDGE;TOT;PC_LC;A;2018;35.833.319;35833319;35833319;35,83332%
NOR;TAXWEDGE;TOT;PC_LC;A;2019;35.759.085;35759085;35759085;35,75909%
NOR;TAXWEDGE;TOT;PC_LC;A;2020;358.033;3580330;35803300;35,80330%
POL;TAXWEDGE;TOT;PC_LC;A;2000;3.816.724;38167240;38167240;38,16724%
POL;TAXWEDGE;TOT;PC_LC;A;2001;38.046.188;38046188;38046188;38,04619%
POL;TAXWEDGE;TOT;PC_LC;A;2002;37.983.875;37983875;37983875;37,98388%
POL;TAXWEDGE;TOT;PC_LC;A;2003;38.236.921;38236921;38236921;38,23692%
POL;TAXWEDGE;TOT;PC_LC;A;2004;38.444.196;38444196;38444196;38,44420%
POL;TAXWEDGE;TOT;PC_LC;A;2005;3.869.536;38695360;38695360;38,69536%
POL;TAXWEDGE;TOT;PC_LC;A;2006;38.953.777;38953777;38953777;38,95378%
POL;TAXWEDGE;TOT;PC_LC;A;2007;38.161.958;38161958;38161958;38,16196%
POL;TAXWEDGE;TOT;PC_LC;A;2008;34.692.522;34692522;34692522;34,69252%
POL;TAXWEDGE;TOT;PC_LC;A;2009;34.123.775;34123775;34123775;34,12378%
POL;TAXWEDGE;TOT;PC_LC;A;2010;34.211.232;34211232;34211232;34,21123%
POL;TAXWEDGE;TOT;PC_LC;A;2011;34.321.659;34321659;34321659;34,32166%
POL;TAXWEDGE;TOT;PC_LC;A;2012;3.551.103;35511030;35511030;35,51103%
POL;TAXWEDGE;TOT;PC_LC;A;2013;35.569.952;35569952;35569952;35,56995%
POL;TAXWEDGE;TOT;PC_LC;A;2014;35.675.176;35675176;35675176;35,67518%
POL;TAXWEDGE;TOT;PC_LC;A;2015;35.729.066;35729066;35729066;35,72907%
POL;TAXWEDGE;TOT;PC_LC;A;2016;35.579.167;35579167;35579167;35,57917%
POL;TAXWEDGE;TOT;PC_LC;A;2017;35.657.537;35657537;35657537;35,65754%
POL;TAXWEDGE;TOT;PC_LC;A;2018;35.762.082;35762082;35762082;35,76208%
POL;TAXWEDGE;TOT;PC_LC;A;2019;3.557.765;35577650;35577650;35,57765%
POL;TAXWEDGE;TOT;PC_LC;A;2020;34.817.688;34817688;34817688;34,81769%
PRT;TAXWEDGE;TOT;PC_LC;A;2000;37.331.801;37331801;37331801;37,33180%
PRT;TAXWEDGE;TOT;PC_LC;A;2001;36.436.956;36436956;36436956;36,43696%
PRT;TAXWEDGE;TOT;PC_LC;A;2002;37.571.481;37571481;37571481;37,57148%
PRT;TAXWEDGE;TOT;PC_LC;A;2003;37.368.579;37368579;37368579;37,36858%
PRT;TAXWEDGE;TOT;PC_LC;A;2004;3.740.016;37400160;37400160;37,40016%
PRT;TAXWEDGE;TOT;PC_LC;A;2005;36.796.095;36796095;36796095;36,79610%
PRT;TAXWEDGE;TOT;PC_LC;A;2006;37.523.852;37523852;37523852;37,52385%
PRT;TAXWEDGE;TOT;PC_LC;A;2007;37.325.414;37325414;37325414;37,32541%
PRT;TAXWEDGE;TOT;PC_LC;A;2008;36.946.905;36946905;36946905;36,94691%
PRT;TAXWEDGE;TOT;PC_LC;A;2009;36.537.074;36537074;36537074;36,53707%
PRT;TAXWEDGE;TOT;PC_LC;A;2010;37.131.515;37131515;37131515;37,13152%
PRT;TAXWEDGE;TOT;PC_LC;A;2011;38.000.937;38000937;38000937;38,00094%
PRT;TAXWEDGE;TOT;PC_LC;A;2012;37.601.224;37601224;37601224;37,60122%
PRT;TAXWEDGE;TOT;PC_LC;A;2013;41.361.608;41361608;41361608;41,36161%
PRT;TAXWEDGE;TOT;PC_LC;A;2014;41.128.618;41128618;41128618;41,12862%
PRT;TAXWEDGE;TOT;PC_LC;A;2015;42.118.898;42118898;42118898;42,11890%
PRT;TAXWEDGE;TOT;PC_LC;A;2016;41.500.465;41500465;41500465;41,50047%
PRT;TAXWEDGE;TOT;PC_LC;A;2017;41.393.009;41393009;41393009;41,39301%
PRT;TAXWEDGE;TOT;PC_LC;A;2018;40.898.407;40898407;40898407;40,89841%
PRT;TAXWEDGE;TOT;PC_LC;A;2019;41.242.276;41242276;41242276;41,24228%
PRT;TAXWEDGE;TOT;PC_LC;A;2020;41.301.756;41301756;41301756;41,30176%
SVK;TAXWEDGE;TOT;PC_LC;A;2000;42.143.066;42143066;42143066;42,14307%
SVK;TAXWEDGE;TOT;PC_LC;A;2001;42.911.691;42911691;42911691;42,91169%
SVK;TAXWEDGE;TOT;PC_LC;A;2002;42.494.532;42494532;42494532;42,49453%
SVK;TAXWEDGE;TOT;PC_LC;A;2003;42.915.992;42915992;42915992;42,91599%
SVK;TAXWEDGE;TOT;PC_LC;A;2004;42.534.212;42534212;42534212;42,53421%
SVK;TAXWEDGE;TOT;PC_LC;A;2005;38.360.433;38360433;38360433;38,36043%
SVK;TAXWEDGE;TOT;PC_LC;A;2006;38.571.286;38571286;38571286;38,57129%
SVK;TAXWEDGE;TOT;PC_LC;A;2007;38.643.065;38643065;38643065;38,64307%
SVK;TAXWEDGE;TOT;PC_LC;A;2008;39.023.409;39023409;39023409;39,02341%
SVK;TAXWEDGE;TOT;PC_LC;A;2009;37.875.722;37875722;37875722;37,87572%
SVK;TAXWEDGE;TOT;PC_LC;A;2010;38.098.494;38098494;38098494;38,09849%
SVK;TAXWEDGE;TOT;PC_LC;A;2011;39.021.094;39021094;39021094;39,02109%
SVK;TAXWEDGE;TOT;PC_LC;A;2012;39.795.796;39795796;39795796;39,79580%
SVK;TAXWEDGE;TOT;PC_LC;A;2013;41.283.611;41283611;41283611;41,28361%
SVK;TAXWEDGE;TOT;PC_LC;A;2014;41.402.609;41402609;41402609;41,40261%
SVK;TAXWEDGE;TOT;PC_LC;A;2015;41.520.143;41520143;41520143;41,52014%
SVK;TAXWEDGE;TOT;PC_LC;A;2016;41.664.039;41664039;41664039;41,66404%
SVK;TAXWEDGE;TOT;PC_LC;A;2017;41.734.351;41734351;41734351;41,73435%
SVK;TAXWEDGE;TOT;PC_LC;A;2018;41.860.356;41860356;41860356;41,86036%
SVK;TAXWEDGE;TOT;PC_LC;A;2019;41.867.944;41867944;41867944;41,86794%
SVK;TAXWEDGE;TOT;PC_LC;A;2020;41.244.528;41244528;41244528;41,24453%
ESP;TAXWEDGE;TOT;PC_LC;A;2000;38.627.724;38627724;38627724;38,62772%
ESP;TAXWEDGE;TOT;PC_LC;A;2001;38.858.001;38858001;38858001;38,85800%
ESP;TAXWEDGE;TOT;PC_LC;A;2002;39.101.446;39101446;39101446;39,10145%
ESP;TAXWEDGE;TOT;PC_LC;A;2003;3.858.189;38581890;38581890;38,58189%
ESP;TAXWEDGE;TOT;PC_LC;A;2004;38.809.975;38809975;38809975;38,80998%
ESP;TAXWEDGE;TOT;PC_LC;A;2005;38.968.565;38968565;38968565;38,96857%
ESP;TAXWEDGE;TOT;PC_LC;A;2006;39.112.234;39112234;39112234;39,11223%
ESP;TAXWEDGE;TOT;PC_LC;A;2007;38.987.028;38987028;38987028;38,98703%
ESP;TAXWEDGE;TOT;PC_LC;A;2008;37.991.003;37991003;37991003;37,99100%
ESP;TAXWEDGE;TOT;PC_LC;A;2009;38.257.526;38257526;38257526;38,25753%
ESP;TAXWEDGE;TOT;PC_LC;A;2010;39.746.546;39746546;39746546;39,74655%
ESP;TAXWEDGE;TOT;PC_LC;A;2011;39.985.142;39985142;39985142;39,98514%
ESP;TAXWEDGE;TOT;PC_LC;A;2012;40.615.097;40615097;40615097;40,61510%
ESP;TAXWEDGE;TOT;PC_LC;A;2013;40.660.487;40660487;40660487;40,66049%
ESP;TAXWEDGE;TOT;PC_LC;A;2014;40.716.086;40716086;40716086;40,71609%
ESP;TAXWEDGE;TOT;PC_LC;A;2015;39.389.283;39389283;39389283;39,38928%
ESP;TAXWEDGE;TOT;PC_LC;A;2016;39.379.123;39379123;39379123;39,37912%
ESP;TAXWEDGE;TOT;PC_LC;A;2017;39.258.454;39258454;39258454;39,25845%
ESP;TAXWEDGE;TOT;PC_LC;A;2018;39.383.498;39383498;39383498;39,38350%
ESP;TAXWEDGE;TOT;PC_LC;A;2019;39.407.415;39407415;39407415;39,40742%
ESP;TAXWEDGE;TOT;PC_LC;A;2020;39.289.026;39289026;39289026;39,28903%
SWE;TAXWEDGE;TOT;PC_LC;A;2000;50.139.717;50139717;50139717;50,13972%
SWE;TAXWEDGE;TOT;PC_LC;A;2001;49.099.191;49099191;49099191;49,09919%
SWE;TAXWEDGE;TOT;PC_LC;A;2002;47.768.617;47768617;47768617;47,76862%
SWE;TAXWEDGE;TOT;PC_LC;A;2003;48.229.722;48229722;48229722;48,22972%
SWE;TAXWEDGE;TOT;PC_LC;A;2004;4.839.539;48395390;48395390;48,39539%
SWE;TAXWEDGE;TOT;PC_LC;A;2005;4.805.073;48050730;48050730;48,05073%
SWE;TAXWEDGE;TOT;PC_LC;A;2006;4.775.037;47750370;47750370;47,75037%
SWE;TAXWEDGE;TOT;PC_LC;A;2007;45.322.344;45322344;45322344;45,32234%
SWE;TAXWEDGE;TOT;PC_LC;A;2008;4.481.103;44811030;44811030;44,81103%
SWE;TAXWEDGE;TOT;PC_LC;A;2009;43.233.667;43233667;43233667;43,23367%
SWE;TAXWEDGE;TOT;PC_LC;A;2010;42.756.325;42756325;42756325;42,75633%
SWE;TAXWEDGE;TOT;PC_LC;A;2011;42.814.102;42814102;42814102;42,81410%
SWE;TAXWEDGE;TOT;PC_LC;A;2012;4.285.535;42855350;42855350;42,85535%
SWE;TAXWEDGE;TOT;PC_LC;A;2013;43.010.853;43010853;43010853;43,01085%
SWE;TAXWEDGE;TOT;PC_LC;A;2014;4.246.309;42463090;42463090;42,46309%
SWE;TAXWEDGE;TOT;PC_LC;A;2015;42.612.492;42612492;42612492;42,61249%
SWE;TAXWEDGE;TOT;PC_LC;A;2016;42.842.793;42842793;42842793;42,84279%
SWE;TAXWEDGE;TOT;PC_LC;A;2017;42.933.366;42933366;42933366;42,93337%
SWE;TAXWEDGE;TOT;PC_LC;A;2018;42.990.505;42990505;42990505;42,99051%
SWE;TAXWEDGE;TOT;PC_LC;A;2019;42.584.043;42584043;42584043;42,58404%
SWE;TAXWEDGE;TOT;PC_LC;A;2020;42.672.573;42672573;42672573;42,67257%
CHE;TAXWEDGE;TOT;PC_LC;A;2000;22.871.766;22871766;22871766;22,87177%
CHE;TAXWEDGE;TOT;PC_LC;A;2001;22.895.794;22895794;22895794;22,89579%
CHE;TAXWEDGE;TOT;PC_LC;A;2002;22.885.207;22885207;22885207;22,88521%
CHE;TAXWEDGE;TOT;PC_LC;A;2003;22.425.267;22425267;22425267;22,42527%
CHE;TAXWEDGE;TOT;PC_LC;A;2004;22.204.579;22204579;22204579;22,20458%
CHE;TAXWEDGE;TOT;PC_LC;A;2005;22.215.922;22215922;22215922;22,21592%
CHE;TAXWEDGE;TOT;PC_LC;A;2006;22.110.921;22110921;22110921;22,11092%
CHE;TAXWEDGE;TOT;PC_LC;A;2007;22.393.375;22393375;22393375;22,39338%
CHE;TAXWEDGE;TOT;PC_LC;A;2008;21.857.035;21857035;21857035;21,85704%
CHE;TAXWEDGE;TOT;PC_LC;A;2009;21.931.432;21931432;21931432;21,93143%
CHE;TAXWEDGE;TOT;PC_LC;A;2010;22.097.216;22097216;22097216;22,09722%
CHE;TAXWEDGE;TOT;PC_LC;A;2011;22.302.919;22302919;22302919;22,30292%
CHE;TAXWEDGE;TOT;PC_LC;A;2012;22.110.907;22110907;22110907;22,11091%
CHE;TAXWEDGE;TOT;PC_LC;A;2013;22.210.669;22210669;22210669;22,21067%
CHE;TAXWEDGE;TOT;PC_LC;A;2014;21.868.976;21868976;21868976;21,86898%
CHE;TAXWEDGE;TOT;PC_LC;A;2015;21.855.026;21855026;21855026;21,85503%
CHE;TAXWEDGE;TOT;PC_LC;A;2016;22.065.636;22065636;22065636;22,06564%
CHE;TAXWEDGE;TOT;PC_LC;A;2017;22.072.438;22072438;22072438;22,07244%
CHE;TAXWEDGE;TOT;PC_LC;A;2018;22.221.034;22221034;22221034;22,22103%
CHE;TAXWEDGE;TOT;PC_LC;A;2019;22.287.656;22287656;22287656;22,28766%
CHE;TAXWEDGE;TOT;PC_LC;A;2020;22.062.875;22062875;22062875;22,06288%
TUR;TAXWEDGE;TOT;PC_LC;A;2000;4.036.334;40363340;40363340;40,36334%
TUR;TAXWEDGE;TOT;PC_LC;A;2001;43.604.851;43604851;43604851;43,60485%
TUR;TAXWEDGE;TOT;PC_LC;A;2002;42.484.984;42484984;42484984;42,48498%
TUR;TAXWEDGE;TOT;PC_LC;A;2003;42.194.855;42194855;42194855;42,19486%
TUR;TAXWEDGE;TOT;PC_LC;A;2004;4.275.790;42757900;42757900;42,75790%
TUR;TAXWEDGE;TOT;PC_LC;A;2005;42.800.849;42800849;42800849;42,80085%
TUR;TAXWEDGE;TOT;PC_LC;A;2006;42.685.484;42685484;42685484;42,68548%
TUR;TAXWEDGE;TOT;PC_LC;A;2007;42.219.318;42219318;42219318;42,21932%
TUR;TAXWEDGE;TOT;PC_LC;A;2008;38.721.943;38721943;38721943;38,72194%
TUR;TAXWEDGE;TOT;PC_LC;A;2009;3.673.884;36738840;36738840;36,73884%
TUR;TAXWEDGE;TOT;PC_LC;A;2010;36.977.973;36977973;36977973;36,97797%
TUR;TAXWEDGE;TOT;PC_LC;A;2011;37.028.177;37028177;37028177;37,02818%
TUR;TAXWEDGE;TOT;PC_LC;A;2012;3.712.741;37127410;37127410;37,12741%
TUR;TAXWEDGE;TOT;PC_LC;A;2013;3.735.727;37357270;37357270;37,35727%
TUR;TAXWEDGE;TOT;PC_LC;A;2014;38.086.217;38086217;38086217;38,08622%
TUR;TAXWEDGE;TOT;PC_LC;A;2015;3.818.596;38185960;38185960;38,18596%
TUR;TAXWEDGE;TOT;PC_LC;A;2016;38.241.023;38241023;38241023;38,24102%
TUR;TAXWEDGE;TOT;PC_LC;A;2017;38.897.567;38897567;38897567;38,89757%
TUR;TAXWEDGE;TOT;PC_LC;A;2018;39.247.185;39247185;39247185;39,24719%
TUR;TAXWEDGE;TOT;PC_LC;A;2019;39.576.678;39576678;39576678;39,57668%
TUR;TAXWEDGE;TOT;PC_LC;A;2020;39.664.269;39664269;39664269;39,66427%
GBR;TAXWEDGE;TOT;PC_LC;A;2000;32.590.398;32590398;32590398;32,59040%
GBR;TAXWEDGE;TOT;PC_LC;A;2001;3.218.807;32188070;32188070;32,18807%
GBR;TAXWEDGE;TOT;PC_LC;A;2002;32.251.521;32251521;32251521;32,25152%
GBR;TAXWEDGE;TOT;PC_LC;A;2003;33.794.608;33794608;33794608;33,79461%
GBR;TAXWEDGE;TOT;PC_LC;A;2004;33.920.048;33920048;33920048;33,92005%
GBR;TAXWEDGE;TOT;PC_LC;A;2005;33.943.313;33943313;33943313;33,94331%
GBR;TAXWEDGE;TOT;PC_LC;A;2006;33.981.118;33981118;33981118;33,98112%
GBR;TAXWEDGE;TOT;PC_LC;A;2007;34.123.721;34123721;34123721;34,12372%
GBR;TAXWEDGE;TOT;PC_LC;A;2008;3.278.177;32781770;32781770;32,78177%
GBR;TAXWEDGE;TOT;PC_LC;A;2009;32.407.154;32407154;32407154;32,40715%
GBR;TAXWEDGE;TOT;PC_LC;A;2010;32.582.675;32582675;32582675;32,58268%
GBR;TAXWEDGE;TOT;PC_LC;A;2011;32.456.784;32456784;32456784;32,45678%
GBR;TAXWEDGE;TOT;PC_LC;A;2012;32.091.517;32091517;32091517;32,09152%
GBR;TAXWEDGE;TOT;PC_LC;A;2013;31.361.598;31361598;31361598;31,36160%
GBR;TAXWEDGE;TOT;PC_LC;A;2014;30.956.356;30956356;30956356;30,95636%
GBR;TAXWEDGE;TOT;PC_LC;A;2015;30.814.131;30814131;30814131;30,81413%
GBR;TAXWEDGE;TOT;PC_LC;A;2016;30.913.017;30913017;30913017;30,91302%
GBR;TAXWEDGE;TOT;PC_LC;A;2017;30.990.924;30990924;30990924;30,99092%
GBR;TAXWEDGE;TOT;PC_LC;A;2018;30.969.121;30969121;30969121;30,96912%
GBR;TAXWEDGE;TOT;PC_LC;A;2019;30.933.591;30933591;30933591;30,93359%
GBR;TAXWEDGE;TOT;PC_LC;A;2020;30.832.131;30832131;30832131;30,83213%
USA;TAXWEDGE;TOT;PC_LC;A;2000;30.843.152;30843152;30843152;30,84315%
USA;TAXWEDGE;TOT;PC_LC;A;2001;30.739.565;30739565;30739565;30,73957%
USA;TAXWEDGE;TOT;PC_LC;A;2002;30.584.252;30584252;30584252;30,58425%
USA;TAXWEDGE;TOT;PC_LC;A;2003;30.460.411;30460411;30460411;30,46041%
USA;TAXWEDGE;TOT;PC_LC;A;2004;30.482.758;30482758;30482758;30,48276%
USA;TAXWEDGE;TOT;PC_LC;A;2005;30.418.159;30418159;30418159;30,41816%
USA;TAXWEDGE;TOT;PC_LC;A;2006;30.552.005;30552005;30552005;30,55201%
USA;TAXWEDGE;TOT;PC_LC;A;2007;30.917.168;30917168;30917168;30,91717%
USA;TAXWEDGE;TOT;PC_LC;A;2008;30.061.773;30061773;30061773;30,06177%
USA;TAXWEDGE;TOT;PC_LC;A;2009;30.278.889;30278889;30278889;30,27889%
USA;TAXWEDGE;TOT;PC_LC;A;2010;30.747.766;30747766;30747766;30,74777%
USA;TAXWEDGE;TOT;PC_LC;A;2011;29.905.917;29905917;29905917;29,90592%
USA;TAXWEDGE;TOT;PC_LC;A;2012;29.842.844;29842844;29842844;29,84284%
USA;TAXWEDGE;TOT;PC_LC;A;2013;31.450.768;31450768;31450768;31,45077%
USA;TAXWEDGE;TOT;PC_LC;A;2014;31.641.234;31641234;31641234;31,64123%
USA;TAXWEDGE;TOT;PC_LC;A;2015;31.437.078;31437078;31437078;31,43708%
USA;TAXWEDGE;TOT;PC_LC;A;2016;31.580.608;31580608;31580608;31,58061%
USA;TAXWEDGE;TOT;PC_LC;A;2017;31.775.433;31775433;31775433;31,77543%
USA;TAXWEDGE;TOT;PC_LC;A;2018;29.598.968;29598968;29598968;29,59897%
USA;TAXWEDGE;TOT;PC_LC;A;2019;29.655.894;29655894;29655894;29,65589%
USA;TAXWEDGE;TOT;PC_LC;A;2020;28.290.867;28290867;28290867;28,29087%
EST;TAXWEDGE;TOT;PC_LC;A;2000;41.309.371;41309371;41309371;41,30937%
EST;TAXWEDGE;TOT;PC_LC;A;2001;40.963.905;40963905;40963905;40,96391%
EST;TAXWEDGE;TOT;PC_LC;A;2002;42.088.547;42088547;42088547;42,08855%
EST;TAXWEDGE;TOT;PC_LC;A;2003;42.322.317;42322317;42322317;42,32232%
EST;TAXWEDGE;TOT;PC_LC;A;2004;41.468.851;41468851;41468851;41,46885%
EST;TAXWEDGE;TOT;PC_LC;A;2005;39.922.469;39922469;39922469;39,92247%
EST;TAXWEDGE;TOT;PC_LC;A;2006;39.032.301;39032301;39032301;39,03230%
EST;TAXWEDGE;TOT;PC_LC;A;2007;39.004.571;39004571;39004571;39,00457%
EST;TAXWEDGE;TOT;PC_LC;A;2008;38.384.307;38384307;38384307;38,38431%
EST;TAXWEDGE;TOT;PC_LC;A;2009;39.170.551;39170551;39170551;39,17055%
EST;TAXWEDGE;TOT;PC_LC;A;2010;40.089.905;40089905;40089905;40,08991%
EST;TAXWEDGE;TOT;PC_LC;A;2011;40.261.904;40261904;40261904;40,26190%
EST;TAXWEDGE;TOT;PC_LC;A;2012;40.412.424;40412424;40412424;40,41242%
EST;TAXWEDGE;TOT;PC_LC;A;2013;39.915.588;39915588;39915588;39,91559%
EST;TAXWEDGE;TOT;PC_LC;A;2014;40.028.984;40028984;40028984;40,02898%
EST;TAXWEDGE;TOT;PC_LC;A;2015;39.048.336;39048336;39048336;39,04834%
EST;TAXWEDGE;TOT;PC_LC;A;2016;38.992.936;38992936;38992936;38,99294%
EST;TAXWEDGE;TOT;PC_LC;A;2017;39.012.257;39012257;39012257;39,01226%
EST;TAXWEDGE;TOT;PC_LC;A;2018;36.169.987;36169987;36169987;36,16999%
EST;TAXWEDGE;TOT;PC_LC;A;2019;37.026.177;37026177;37026177;37,02618%
EST;TAXWEDGE;TOT;PC_LC;A;2020;3.689.154;36891540;36891540;36,89154%
ISR;TAXWEDGE;TOT;PC_LC;A;2000;29.576.715;29576715;29576715;29,57672%
ISR;TAXWEDGE;TOT;PC_LC;A;2001;30.671.188;30671188;30671188;30,67119%
ISR;TAXWEDGE;TOT;PC_LC;A;2002;30.795.671;30795671;30795671;30,79567%
ISR;TAXWEDGE;TOT;PC_LC;A;2003;27.655.171;27655171;27655171;27,65517%
ISR;TAXWEDGE;TOT;PC_LC;A;2004;26.444.075;26444075;26444075;26,44408%
ISR;TAXWEDGE;TOT;PC_LC;A;2005;2.552.123;25521230;25521230;25,52123%
ISR;TAXWEDGE;TOT;PC_LC;A;2006;24.314.712;24314712;24314712;24,31471%
ISR;TAXWEDGE;TOT;PC_LC;A;2007;2.492.694;24926940;24926940;24,92694%
ISR;TAXWEDGE;TOT;PC_LC;A;2008;22.898.402;22898402;22898402;22,89840%
ISR;TAXWEDGE;TOT;PC_LC;A;2009;21.299.795;21299795;21299795;21,29980%
ISR;TAXWEDGE;TOT;PC_LC;A;2010;20.716.439;20716439;20716439;20,71644%
ISR;TAXWEDGE;TOT;PC_LC;A;2011;20.784.895;20784895;20784895;20,78490%
ISR;TAXWEDGE;TOT;PC_LC;A;2012;20.392.396;20392396;20392396;20,39240%
ISR;TAXWEDGE;TOT;PC_LC;A;2013;2.035.099;20350990;20350990;20,35099%
ISR;TAXWEDGE;TOT;PC_LC;A;2014;21.069.465;21069465;21069465;21,06947%
ISR;TAXWEDGE;TOT;PC_LC;A;2015;21.764.344;21764344;21764344;21,76434%
ISR;TAXWEDGE;TOT;PC_LC;A;2016;22.278.929;22278929;22278929;22,27893%
ISR;TAXWEDGE;TOT;PC_LC;A;2017;2.207.336;22073360;22073360;22,07336%
ISR;TAXWEDGE;TOT;PC_LC;A;2018;22.671.065;22671065;22671065;22,67107%
ISR;TAXWEDGE;TOT;PC_LC;A;2019;22.936.047;22936047;22936047;22,93605%
ISR;TAXWEDGE;TOT;PC_LC;A;2020;22.406.822;22406822;22406822;22,40682%
SVN;TAXWEDGE;TOT;PC_LC;A;2000;46.251.725;46251725;46251725;46,25173%
SVN;TAXWEDGE;TOT;PC_LC;A;2001;46.153.982;46153982;46153982;46,15398%
SVN;TAXWEDGE;TOT;PC_LC;A;2002;46.070.724;46070724;46070724;46,07072%
SVN;TAXWEDGE;TOT;PC_LC;A;2003;46.156.228;46156228;46156228;46,15623%
SVN;TAXWEDGE;TOT;PC_LC;A;2004;46.277.781;46277781;46277781;46,27778%
SVN;TAXWEDGE;TOT;PC_LC;A;2005;45.550.904;45550904;45550904;45,55090%
SVN;TAXWEDGE;TOT;PC_LC;A;2006;45.293.668;45293668;45293668;45,29367%
SVN;TAXWEDGE;TOT;PC_LC;A;2007;4.328.492;43284920;43284920;43,28492%
SVN;TAXWEDGE;TOT;PC_LC;A;2008;42.876.682;42876682;42876682;42,87668%
SVN;TAXWEDGE;TOT;PC_LC;A;2009;42.239.052;42239052;42239052;42,23905%
SVN;TAXWEDGE;TOT;PC_LC;A;2010;42.539.289;42539289;42539289;42,53929%
SVN;TAXWEDGE;TOT;PC_LC;A;2011;42.647.217;42647217;42647217;42,64722%
SVN;TAXWEDGE;TOT;PC_LC;A;2012;4.250.224;42502240;42502240;42,50224%
SVN;TAXWEDGE;TOT;PC_LC;A;2013;42.372.659;42372659;42372659;42,37266%
SVN;TAXWEDGE;TOT;PC_LC;A;2014;42.505.138;42505138;42505138;42,50514%
SVN;TAXWEDGE;TOT;PC_LC;A;2015;42.572.902;42572902;42572902;42,57290%
